Time;Message_ID;From_Node;To_Node;Hop_Count;Remaining_TTL;Msg_Size;Final_Dest
157.00;HAG_MSG1;33;12;1;1439;276955;12
159.00;HAG_MSG1;33;15;1;1439;276955;12
161.00;HAG_MSG1;33;32;1;1439;276955;12
162.00;HAG_MSG1;15;0;2;1439;276955;12
163.00;HAG_MSG1;33;31;1;1439;276955;12
164.00;HAG_MSG1;32;2;2;1439;276955;12
164.00;HAG_MSG1;15;1;2;1439;276955;12
165.00;HAG_MSG1;33;40;1;1439;276955;12
165.00;HAG_MSG1;0;10;3;1439;276955;12
166.00;HAG_MSG1;32;3;2;1439;276955;12
166.00;HAG_MSG1;2;8;3;1439;276955;12
166.00;HAG_MSG1;15;5;2;1439;276955;12
166.00;HAG_MSG1;31;4;2;1439;276955;12
167.00;HAG_MSG1;0;6;3;1439;276955;12
167.00;HAG_MSG1;33;26;1;1439;276955;12
167.00;HAG_MSG1;10;9;4;1439;276955;12
167.00;HAG_MSG1;1;35;3;1439;276955;12
167.00;HAG_MSG1;40;7;2;1439;276955;12
168.00;HAG_MSG1;15;14;2;1439;276955;12
168.00;HAG_MSG1;31;16;2;1439;276955;12
168.00;HAG_MSG1;5;20;3;1439;276955;12
168.00;HAG_MSG1;3;13;3;1439;276955;12
168.00;HAG_MSG1;2;25;3;1439;276955;12
168.00;HAG_MSG1;32;11;2;1439;276955;12
169.00;HAG_MSG1;9;34;5;1439;276955;12
169.00;HAG_MSG1;1;38;3;1439;276955;12
169.00;HAG_MSG1;40;22;2;1439;276955;12
169.00;HAG_MSG1;6;36;4;1439;276955;12
169.00;HAG_MSG1;4;37;3;1439;276955;12
169.00;HAG_MSG1;33;27;1;1439;276955;12
169.00;HAG_MSG1;8;21;4;1439;276955;12
169.00;HAG_MSG1;26;19;2;1439;276955;12
169.00;HAG_MSG1;10;18;4;1439;276955;12
169.00;HAG_MSG1;0;17;3;1439;276955;12
170.00;HAG_MSG1;5;30;3;1439;276955;12
170.00;HAG_MSG1;31;28;2;1439;276955;12
170.00;HAG_MSG1;35;23;4;1439;276955;12
170.00;HAG_MSG1;14;29;3;1439;276955;12
