=== DROP PER NODE STATISTICS ===
Host c40 | Drops: 175 | Removes: 0 | Total Events: 175Time : 43129.099999652884 sec
Host c78 | Drops: 192 | Removes: 0 | Total Events: 192Time : 43191.49999965198 sec
Host c54 | Drops: 129 | Removes: 0 | Total Events: 129Time : 42654.0999996598 sec
Host c46 | Drops: 163 | Removes: 0 | Total Events: 163Time : 43169.99999965229 sec
Host w98 | Drops: 316 | Removes: 0 | Total Events: 316Time : 43162.1999996524 sec
Host p27 | Drops: 301 | Removes: 0 | Total Events: 301Time : 43116.09999965307 sec
Host p34 | Drops: 110 | Removes: 0 | Total Events: 110Time : 43141.8999996527 sec
Host c70 | Drops: 128 | Removes: 0 | Total Events: 128Time : 42293.79999966504 sec
Host p11 | Drops: 123 | Removes: 0 | Total Events: 123Time : 42628.19999966017 sec
Host w100 | Drops: 177 | Removes: 0 | Total Events: 177Time : 43095.399999653375 sec
Host w89 | Drops: 279 | Removes: 0 | Total Events: 279Time : 41794.8999996723 sec
Host w111 | Drops: 167 | Removes: 0 | Total Events: 167Time : 42310.3999996648 sec
Host p9 | Drops: 338 | Removes: 0 | Total Events: 338Time : 43153.89999965252 sec
Host p10 | Drops: 160 | Removes: 0 | Total Events: 160Time : 42201.89999966638 sec
Host c59 | Drops: 118 | Removes: 0 | Total Events: 118Time : 42751.29999965838 sec
Host w87 | Drops: 330 | Removes: 0 | Total Events: 330Time : 42940.59999965563 sec
Host c47 | Drops: 152 | Removes: 0 | Total Events: 152Time : 43113.899999653106 sec
Host p1 | Drops: 129 | Removes: 0 | Total Events: 129Time : 43095.09999965338 sec
Host t122 | Drops: 875 | Removes: 0 | Total Events: 875Time : 42741.99999965852 sec
Host c56 | Drops: 127 | Removes: 0 | Total Events: 127Time : 43024.49999965441 sec
Host w119 | Drops: 270 | Removes: 0 | Total Events: 270Time : 42865.39999965672 sec
Host c57 | Drops: 135 | Removes: 0 | Total Events: 135Time : 42907.8999996561 sec
Host c41 | Drops: 232 | Removes: 0 | Total Events: 232Time : 42805.49999965759 sec
Host w101 | Drops: 207 | Removes: 0 | Total Events: 207Time : 42997.5999996548 sec
Host w104 | Drops: 311 | Removes: 0 | Total Events: 311Time : 42651.79999965983 sec
Host p37 | Drops: 187 | Removes: 0 | Total Events: 187Time : 42832.5999996572 sec
Host p14 | Drops: 136 | Removes: 0 | Total Events: 136Time : 43028.29999965435 sec
Host p19 | Drops: 146 | Removes: 0 | Total Events: 146Time : 42312.49999966477 sec
Host p39 | Drops: 221 | Removes: 0 | Total Events: 221Time : 43199.199999651864 sec
Host w106 | Drops: 160 | Removes: 0 | Total Events: 160Time : 42635.39999966007 sec
Host t124 | Drops: 1510 | Removes: 0 | Total Events: 1510Time : 43085.699999653516 sec
Host p21 | Drops: 240 | Removes: 0 | Total Events: 240Time : 43084.79999965353 sec
Host w114 | Drops: 192 | Removes: 0 | Total Events: 192Time : 42347.099999664264 sec
Host p33 | Drops: 137 | Removes: 0 | Total Events: 137Time : 42996.29999965482 sec
Host w110 | Drops: 275 | Removes: 0 | Total Events: 275Time : 42760.799999658244 sec
Host w93 | Drops: 179 | Removes: 0 | Total Events: 179Time : 43102.899999653266 sec
Host c69 | Drops: 170 | Removes: 0 | Total Events: 170Time : 43158.89999965245 sec
Host p31 | Drops: 125 | Removes: 0 | Total Events: 125Time : 41977.89999966964 sec
Host p38 | Drops: 227 | Removes: 0 | Total Events: 227Time : 42958.19999965537 sec
Host c76 | Drops: 175 | Removes: 0 | Total Events: 175Time : 43141.09999965271 sec
Host w80 | Drops: 119 | Removes: 0 | Total Events: 119Time : 42767.09999965815 sec
Host w83 | Drops: 207 | Removes: 0 | Total Events: 207Time : 42620.39999966029 sec
Host p22 | Drops: 201 | Removes: 0 | Total Events: 201Time : 43187.79999965203 sec
Host w85 | Drops: 212 | Removes: 0 | Total Events: 212Time : 43068.09999965377 sec
Host w84 | Drops: 221 | Removes: 0 | Total Events: 221Time : 42525.79999966166 sec
Host w105 | Drops: 469 | Removes: 0 | Total Events: 469Time : 42833.99999965718 sec
Host p28 | Drops: 181 | Removes: 0 | Total Events: 181Time : 41629.29999967471 sec
Host t120 | Drops: 15494 | Removes: 0 | Total Events: 15494Time : 43039.89999965418 sec
Host c49 | Drops: 186 | Removes: 0 | Total Events: 186Time : 43180.09999965214 sec
Host c61 | Drops: 191 | Removes: 0 | Total Events: 191Time : 43199.39999965186 sec
Host w95 | Drops: 124 | Removes: 0 | Total Events: 124Time : 43089.799999653456 sec
Host p7 | Drops: 351 | Removes: 0 | Total Events: 351Time : 43166.49999965234 sec
Host w107 | Drops: 198 | Removes: 0 | Total Events: 198Time : 43078.49999965362 sec
Host p25 | Drops: 242 | Removes: 0 | Total Events: 242Time : 43198.99999965187 sec
Host c62 | Drops: 111 | Removes: 0 | Total Events: 111Time : 43150.19999965258 sec
Host c48 | Drops: 225 | Removes: 0 | Total Events: 225Time : 43199.799999651856 sec
Host c79 | Drops: 165 | Removes: 0 | Total Events: 165Time : 43178.19999965217 sec
Host p0 | Drops: 110 | Removes: 0 | Total Events: 110Time : 43096.99999965335 sec
Host p3 | Drops: 393 | Removes: 0 | Total Events: 393Time : 43156.69999965248 sec
Host c51 | Drops: 138 | Removes: 0 | Total Events: 138Time : 43119.29999965303 sec
Host w94 | Drops: 404 | Removes: 0 | Total Events: 404Time : 42450.99999966275 sec
Host p8 | Drops: 296 | Removes: 0 | Total Events: 296Time : 43069.69999965375 sec
Host p35 | Drops: 246 | Removes: 0 | Total Events: 246Time : 42077.39999966819 sec
Host p16 | Drops: 167 | Removes: 0 | Total Events: 167Time : 43164.099999652375 sec
Host p26 | Drops: 158 | Removes: 0 | Total Events: 158Time : 42040.19999966873 sec
Host w117 | Drops: 82 | Removes: 0 | Total Events: 82Time : 43008.39999965464 sec
Host p12 | Drops: 409 | Removes: 0 | Total Events: 409Time : 42673.399999659516 sec
Host w90 | Drops: 213 | Removes: 0 | Total Events: 213Time : 42858.49999965682 sec
Host w91 | Drops: 331 | Removes: 0 | Total Events: 331Time : 43132.499999652835 sec
Host w99 | Drops: 100 | Removes: 0 | Total Events: 100Time : 42901.0999996562 sec
Host w82 | Drops: 332 | Removes: 0 | Total Events: 332Time : 43183.59999965209 sec
Host p17 | Drops: 173 | Removes: 0 | Total Events: 173Time : 42953.69999965544 sec
Host w118 | Drops: 271 | Removes: 0 | Total Events: 271Time : 43031.5999996543 sec
Host w96 | Drops: 187 | Removes: 0 | Total Events: 187Time : 43183.49999965209 sec
Host w116 | Drops: 386 | Removes: 0 | Total Events: 386Time : 43142.099999652695 sec
Host p13 | Drops: 200 | Removes: 0 | Total Events: 200Time : 43041.099999654165 sec
Host p6 | Drops: 141 | Removes: 0 | Total Events: 141Time : 42906.399999656125 sec
Host c65 | Drops: 200 | Removes: 0 | Total Events: 200Time : 43185.99999965206 sec
Host w86 | Drops: 282 | Removes: 0 | Total Events: 282Time : 42571.599999661 sec
Host p5 | Drops: 98 | Removes: 0 | Total Events: 98Time : 43159.299999652445 sec
Host w92 | Drops: 150 | Removes: 0 | Total Events: 150Time : 41427.89999967764 sec
Host w115 | Drops: 84 | Removes: 0 | Total Events: 84Time : 42809.29999965754 sec
Host t123 | Drops: 857 | Removes: 0 | Total Events: 857Time : 43195.89999965191 sec
Host p23 | Drops: 307 | Removes: 0 | Total Events: 307Time : 43193.89999965194 sec
Host c67 | Drops: 255 | Removes: 0 | Total Events: 255Time : 43121.299999653 sec
Host c52 | Drops: 133 | Removes: 0 | Total Events: 133Time : 43179.299999652154 sec
Host p4 | Drops: 207 | Removes: 0 | Total Events: 207Time : 42780.29999965796 sec
Host p36 | Drops: 141 | Removes: 0 | Total Events: 141Time : 41917.09999967052 sec
Host c77 | Drops: 140 | Removes: 0 | Total Events: 140Time : 43088.69999965347 sec
Host c43 | Drops: 265 | Removes: 0 | Total Events: 265Time : 42945.79999965555 sec
Host c71 | Drops: 129 | Removes: 0 | Total Events: 129Time : 43160.29999965243 sec
Host w112 | Drops: 222 | Removes: 0 | Total Events: 222Time : 42986.199999654964 sec
Host c63 | Drops: 174 | Removes: 0 | Total Events: 174Time : 42944.99999965556 sec
Host c73 | Drops: 152 | Removes: 0 | Total Events: 152Time : 43200.09999965185 sec
Host c74 | Drops: 168 | Removes: 0 | Total Events: 168Time : 43172.999999652246 sec
Host c44 | Drops: 154 | Removes: 0 | Total Events: 154Time : 43155.4999996525 sec
Host c72 | Drops: 166 | Removes: 0 | Total Events: 166Time : 43012.199999654586 sec
Host w108 | Drops: 241 | Removes: 0 | Total Events: 241Time : 43116.99999965306 sec
Host w88 | Drops: 362 | Removes: 0 | Total Events: 362Time : 42792.299999657786 sec
Host p29 | Drops: 156 | Removes: 0 | Total Events: 156Time : 42456.19999966268 sec
Host w97 | Drops: 262 | Removes: 0 | Total Events: 262Time : 43164.69999965237 sec
Host p18 | Drops: 240 | Removes: 0 | Total Events: 240Time : 42943.599999655584 sec
Host p20 | Drops: 239 | Removes: 0 | Total Events: 239Time : 43084.69999965353 sec
Host p24 | Drops: 149 | Removes: 0 | Total Events: 149Time : 43059.2999996539 sec
Host w102 | Drops: 244 | Removes: 0 | Total Events: 244Time : 43192.69999965196 sec
Host c68 | Drops: 136 | Removes: 0 | Total Events: 136Time : 42155.19999966706 sec
Host c75 | Drops: 144 | Removes: 0 | Total Events: 144Time : 43175.39999965221 sec
Host c45 | Drops: 160 | Removes: 0 | Total Events: 160Time : 43087.099999653496 sec
Host p15 | Drops: 170 | Removes: 0 | Total Events: 170Time : 42952.19999965546 sec
Host c50 | Drops: 169 | Removes: 0 | Total Events: 169Time : 43164.39999965237 sec
Host c60 | Drops: 141 | Removes: 0 | Total Events: 141Time : 43169.69999965229 sec
Host t125 | Drops: 1308 | Removes: 0 | Total Events: 1308Time : 43152.59999965254 sec
Host c64 | Drops: 136 | Removes: 0 | Total Events: 136Time : 43177.199999652184 sec
Host c66 | Drops: 158 | Removes: 0 | Total Events: 158Time : 42981.399999655034 sec
Host p2 | Drops: 111 | Removes: 0 | Total Events: 111Time : 42445.39999966283 sec
Host w113 | Drops: 210 | Removes: 0 | Total Events: 210Time : 41012.99999968368 sec
Host w103 | Drops: 137 | Removes: 0 | Total Events: 137Time : 42593.699999660676 sec
Host p32 | Drops: 165 | Removes: 0 | Total Events: 165Time : 43075.29999965367 sec
Host c53 | Drops: 161 | Removes: 0 | Total Events: 161Time : 43134.499999652806 sec
Host c58 | Drops: 162 | Removes: 0 | Total Events: 162Time : 43090.29999965345 sec
Host w81 | Drops: 120 | Removes: 0 | Total Events: 120Time : 43167.599999652324 sec
Host w109 | D
